id,topic1,topic2,topic3,published_year
Dependent_SIFUM_Type_Systems,Computer science,Programming languages,Type systems,2016
WHATandWHERE_Security,Computer science,Programming languages,Type systems,2014
Strong_Security,Computer science,Programming languages,Type systems,2014
SIFUM_Type_Systems,Computer science,Programming languages,Type systems,2014
Possibilistic_Noninterference,Computer science,Programming languages,Type systems,2012
VolpanoSmith,Computer science,Programming languages,Type systems,2008
MiniML,Computer science,Programming languages,Type systems,2004
Differential_Privacy,Computer science,Security,,2025
IMP_Noninterference_Extension,Computer science,Security,,2024
IMP_With_Speculation,Computer science,Security,,2024
Secret_Directed_Unwinding,Computer science,Security,,2024
Relative_Security,Computer science,Security,,2024
